,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2018-12-10,3200.0,3312.32,3000.0,3199.27,706.262388,2018-12-16 23:59:59.999,2258930.03335719,2556,355.339087,1138212.16306901,0
1,2018-12-17,3192.69,4170.0,3187.25,3953.49,10563.102248,2018-12-23 23:59:59.999,40120147.63977872,58627,4962.67751,18842631.70633415,0
2,2018-12-24,3948.01,4299.0,3528.0,3821.66,7191.454911,2018-12-30 23:59:59.999,27497797.57164146,53897,3357.653877,12896941.7023358,0
3,2018-12-31,3832.27,4080.0,3623.24,4039.13,6280.031696,2019-01-06 23:59:59.999,23974431.343719,42821,3130.895511,11958212.39211301,0
4,2019-01-07,4039.0,4110.5,3431.15,3509.21,12925.321292,2019-01-13 23:59:59.999,49342653.39535769,77722,6219.868115,23844073.29209199,0
5,2019-01-14,3511.94,3748.0,3477.82,3535.79,9953.713009,2019-01-20 23:59:59.999,35992664.47664896,55152,2480.448866,8979929.51329784,0
6,2019-01-21,3535.89,3660.86,3436.59,3531.36,7195.579073,2019-01-27 23:59:59.999,25584871.42807328,66361,2607.555002,9264942.12778253,0
7,2019-01-28,3527.66,3648.89,3344.91,3413.46,7970.213109,2019-02-03 23:59:59.999,27306084.14310785,63031,2735.861931,9372239.78424299,0
8,2019-02-04,3413.24,3721.3,3300.0,3651.57,4759.333163,2019-02-10 23:59:59.999,16558199.27091057,45643,2135.295321,7450431.90422198,0
9,2019-02-11,3651.57,3652.61,3520.1,3628.54,4573.828116,2019-02-17 23:59:59.999,16361604.77238146,47475,2504.941754,8964726.9792465,0
10,2019-02-18,3628.54,4184.27,3613.87,3721.64,6299.287635,2019-02-24 23:59:59.999,24434977.61003597,69391,2877.825883,11187847.25304894,0
11,2019-02-25,3730.78,3880.0,3655.25,3784.63,5218.760125,2019-03-03 23:59:59.999,19823169.45341121,57150,2695.59575,10244227.73466646,0
12,2019-03-04,3784.63,3949.99,3666.0,3897.55,5490.120025,2019-03-10 23:59:59.999,20964108.6104846,52490,2884.141673,11027382.5036268,0
13,2019-03-11,3900.31,4046.34,3786.0,3967.01,4244.030343,2019-03-17 23:59:59.999,16494854.22783765,39196,1954.599594,7594266.27398435,0
14,2019-03-18,3964.97,4053.15,3863.95,3973.06,4556.176707,2019-03-24 23:59:59.999,18120380.79533529,40950,2262.486024,8998124.66063277,0
15,2019-03-25,3970.64,4130.0,3861.25,4093.12,4728.895107,2019-03-31 23:59:59.999,18901728.04497389,37416,2261.225577,9051250.95227552,0
16,2019-04-01,4095.99,5377.98,4050.0,5192.3,13438.722198,2019-04-07 23:59:59.999,65400583.8873327,112455,6008.713082,29296474.50439437,0
17,2019-04-08,5197.14,5469.0,4903.54,5161.56,7346.514233,2019-04-14 23:59:59.999,38021430.79281623,71032,3303.337955,17107081.9274606,0
18,2019-04-15,5163.52,5360.0,4941.13,5297.0,4057.674841,2019-04-21 23:59:59.999,21168736.64872263,47553,1856.377622,9687495.62525739,0
19,2019-04-22,5300.59,5650.0,4805.74,5152.9,11936.050585,2019-04-28 23:59:59.999,62346622.73282725,101317,5878.990326,30761302.31318777,0
20,2019-04-29,5151.75,5825.0,5053.56,5713.84,12856.181412,2019-05-05 23:59:59.999,70519871.22334251,104024,5615.186081,30840734.61691049,0
21,2019-05-06,5718.24,7535.58,5563.91,6947.86,17891.811645,2019-05-12 23:59:59.999,113564174.07150386,210948,8550.38341,54052861.38001691,0
