,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-01-14,0.5604,0.5604,0.4505,0.4847,1733722.96,2019-01-20 23:59:59.999,846094.433637,3877,835562.07,408442.29716,0
1,2019-01-21,0.4832,0.5643,0.4144,0.429,4866225.49,2019-01-27 23:59:59.999,2383143.314294,8460,2265683.41,1112339.933102,0
2,2019-01-28,0.4279,0.461,0.3373,0.3905,5347924.95,2019-02-03 23:59:59.999,2162360.190856,7979,2763576.92,1115930.653904,0
3,2019-02-04,0.3883,0.4777,0.383,0.4505,1933820.99,2019-02-10 23:59:59.999,824955.401858,3404,762401.18,321984.212028,0
4,2019-02-11,0.4438,0.4717,0.4122,0.455,1201910.0,2019-02-17 23:59:59.999,519019.54752,2661,522721.88,225957.551974,0
5,2019-02-18,0.4565,0.4765,0.3931,0.4039,1153976.32,2019-02-24 23:59:59.999,515833.236681,3165,501671.55,223474.643884,0
6,2019-02-25,0.4028,0.4729,0.4012,0.4152,394015.95,2019-03-03 23:59:59.999,172703.031747,1027,188457.13,82652.588355,0
7,2019-03-04,0.4184,0.5428,0.395,0.4992,3263979.04,2019-03-10 23:59:59.999,1508550.504211,6072,1503104.76,688659.31085,0
8,2019-03-11,0.5005,0.5109,0.4482,0.4744,12865076.6,2019-03-17 23:59:59.999,6144466.508201,24121,6386356.71,3043791.639985,0
9,2019-03-18,0.4777,0.4878,0.433,0.4497,868279.62,2019-03-24 23:59:59.999,405020.438974,1624,557549.76,260447.222117,0
10,2019-03-25,0.4529,0.5373,0.4455,0.5042,488788.66,2019-03-31 23:59:59.999,244108.262319,1183,242446.73,120027.985098,0
11,2019-04-01,0.5075,0.6099,0.4997,0.5792,1628919.14,2019-04-07 23:59:59.999,932894.37042,3310,799067.97,456677.28135,0
12,2019-04-08,0.5806,0.594,0.4558,0.5277,1095932.44,2019-04-14 23:59:59.999,593270.228242,2448,563883.22,304439.905207,0
13,2019-04-15,0.52,0.5432,0.4814,0.496,178660.68,2019-04-21 23:59:59.999,91167.158266,892,108954.74,55833.466772,0
14,2019-04-22,0.4996,0.5214,0.4043,0.4409,635326.92,2019-04-28 23:59:59.999,287808.841613,1645,313416.77,141955.858071,0
15,2019-04-29,0.4394,0.5164,0.4159,0.5031,1111096.0,2019-05-05 23:59:59.999,529890.081398,2257,712192.84,341172.274952,0
16,2019-05-06,0.501,3.98,0.4901,0.6528,1717357.32,2019-05-12 23:59:59.999,1058939.046983,6105,751306.49,473620.87474,0
17,2019-05-13,0.6529,1.0555,0.6304,0.9928,3791776.07,2019-05-19 23:59:59.999,3402955.955359,16004,1988750.17,1800373.049046,0
18,2019-05-20,0.9928,1.485,0.9351,1.0997,3075558.68,2019-05-26 23:59:59.999,3766220.110278,14377,1298021.76,1590693.036897,0
19,2019-05-27,1.1001,1.3519,0.9,1.0166,2148412.78,2019-06-02 23:59:59.999,2381946.685723,10195,945049.13,1053045.151946,0
20,2019-06-03,1.0122,1.2799,0.84,1.061,2159569.86,2019-06-09 23:59:59.999,2344176.567033,8776,951694.11,1048436.794054,0
21,2019-06-10,1.0427,1.98,1.0358,1.66,2733781.89,2019-06-16 23:59:59.999,4409848.171466,13304,1224866.51,1990784.435226,0
22,2019-06-17,1.6864,2.0807,1.6257,1.8317,1365752.02,2019-06-23 23:59:59.999,2493154.212866,8352,614891.72,1127417.861803,0
23,2019-06-24,1.7966,4.5432,1.76,3.3691,4605620.44,2019-06-30 23:59:59.999,14292773.55111,36201,1985740.71,6142065.114011,0
